month,total waste generated (kg/day)
2021-03-01,144.26460523076165
2021-03-02,108.61491052496548
2021-03-03,154.14937207234237
2021-03-04,119.62507651337208
2021-03-05,157.66979185503766
2021-03-06,120.81072918476465
2021-03-07,98.01228177173982
2021-03-08,136.01834766754962
2021-03-09,100.36865296170072
2021-03-10,145.90311450908746
2021-03-11,111.37881895025697
2021-03-12,149.4235342919005
2021-03-13,112.56447162171573
2021-03-14,89.76602420861957
2021-03-15,127.7720901043376
2021-03-16,92.12239539843591
2021-03-17,137.65685694581794
2021-03-18,103.13256138693866
2021-03-19,141.1772767286067
2021-03-20,104.31821405830547
2021-03-21,81.51976664533045
2021-03-22,119.52583254106283
2021-03-23,83.8761378352251
2021-03-24,129.410599382563
2021-03-25,94.88630382362035
2021-03-26,132.93101916531293
2021-03-27,96.07195649507585
2021-03-28,73.27350908203645
2021-03-29,111.27957497772712
2021-03-30,75.62988027190634
2021-04-01,86.64004626050523
2021-04-02,124.6847616020553
2021-04-03,87.82569893184626
2021-04-04,65.0272515187473
2021-04-05,103.0333174146388
2021-04-06,67.38362270869553
2021-04-07,112.91808425607954
2021-04-08,78.39378869712233
2021-04-09,116.43850403891815
2021-04-10,79.57944136861667
2021-04-11,56.78099395562708
2021-04-12,94.78705985130308
2021-04-13,59.13736514543587
2021-04-14,104.6718266928246
2021-04-15,70.14753113390563
2021-04-16,108.19224647546771
2021-04-17,71.3331838052064
2021-04-18,48.534736392164184
2021-04-19,86.5408022879674
2021-04-20,50.891107582171074
2021-04-21,96.42556912956967
2021-04-22,61.90127357068893
2021-04-23,99.94598891233055
2021-04-24,63.08692624208229
2021-04-25,40.28847882904395
2021-04-26,78.29454472475537
2021-04-27,42.6448500189063
2021-04-28,88.17931156634116
2021-04-29,53.655016007407625
2021-05-01,54.840668678852694
2021-05-02,32.042221265754804
2021-05-03,70.04828716154334
2021-05-04,34.39859245569548
2021-05-05,79.93305400304521
2021-05-06,45.4087584440893
2021-05-07,83.45347378574297
2021-05-08,46.5944111156231
2021-05-09,23.79596370246569
2021-05-10,61.80202959826858
2021-05-11,26.152334892484678
2021-05-12,71.68679643981667
2021-05-13,37.1625008808726
2021-05-14,75.20721622260584
2021-05-15,38.34815355221285
2021-05-16,15.549706139176557
2021-05-17,53.55577203493289
2021-05-18,17.906077329165896
2021-05-19,63.440538876561746
2021-05-20,28.916243317655862
2021-05-21,66.96095865934818
2021-05-22,30.101895989269423
2021-05-23,7.303448576056329
2021-05-24,45.30951447184453
2021-05-25,9.659819765955092
2021-05-26,55.194281313292244
2021-05-27,20.669985754439157
2021-05-28,58.714701096211044
2021-05-29,21.855638425859137
2021-05-30,-0.9428089872328265
2021-06-01,1.4135622026954486
2021-06-02,46.94802375003731
2021-06-03,12.423728191120857
2021-06-04,50.46844353276059
2021-06-05,13.609380862448859
2021-06-06,-9.189066550526803
2021-06-07,28.816999345296836
2021-06-08,-6.83269536056933
2021-06-09,38.70176618680881
2021-06-10,4.177470628005715
2021-06-11,42.222185969623446
2021-06-12,5.363123299399931
2021-06-13,-17.43532411381596
2021-06-14,20.570741782084795
2021-06-15,-15.078952923834107
2021-06-16,30.455508623580286
2021-06-17,-4.068786935377169
2021-06-18,33.97592840636582
2021-06-19,-2.8831342640103146
2021-06-20,-25.681581676936183
2021-06-21,12.32448421887279
2021-06-22,-23.32521048703981
2021-06-23,22.20925106029893
2021-06-24,-12.315044498593874
2021-06-25,25.72967084307204
2021-06-26,-11.129391827239903
2021-06-27,-33.92783924039424
2021-06-28,4.078226655474303
2021-06-29,-31.57146805035859
2021-07-01,-20.56130206181058
2021-07-02,17.483413279778254
2021-07-03,-19.375649390544687
2021-07-04,-42.17409680351447
2021-07-05,-4.1680309077377
2021-07-06,-39.817725613569394
2021-07-07,5.716735933815475
2021-07-08,-28.807559625027313
2021-07-09,9.237155716641084
2021-07-10,-27.621906953593616
2021-07-11,-50.4203543666347
2021-07-12,-12.414288470949709
2021-07-13,-48.06398317683417
2021-07-14,-2.5295216294540346
2021-07-15,-37.05381718841023
2021-07-16,0.9908981531906633
2021-07-17,-35.86816451700386
2021-07-18,-58.666611930092714
2021-07-19,-20.66054603422448
2021-07-20,-56.310240740044975
2021-07-21,-10.775779192708995
2021-07-22,-45.30007475172853
2021-07-23,-7.255359409946507
2021-07-24,-44.11442208023348
2021-07-25,-66.9128694932178
2021-07-26,-28.906803597560202
2021-07-27,-64.55649830336375
2021-07-28,-19.022036755937485
2021-07-29,-53.54633231484364
2021-07-30,-15.50161697320413
2021-08-01,-75.15912705650695
2021-08-02,-37.15306116064852
2021-08-03,-72.80275586657456
2021-08-04,-27.268294319218843
2021-08-05,-61.792589878161934
2021-08-06,-23.747874536497914
2021-08-07,-60.60693720669269
2021-08-08,-83.40538461962721
2021-08-09,-45.399318723984216
2021-08-10,-81.0490134298342
2021-08-11,-35.51455188244735
2021-08-12,-70.03884744137864
2021-08-13,-31.994132099791727
2021-08-14,-68.85319477010293
2021-08-15,-91.65164218309009
2021-08-16,-53.64557628731995
2021-08-17,-89.29527099309901
2021-08-18,-43.76080944571686
2021-08-19,-78.28510500459538
2021-08-20,-40.24038966292886
2021-08-21,-77.09945233304637
2021-08-22,-99.89789974621036
2021-08-23,-61.891833850408254
2021-08-24,-97.54152855636382
2021-08-25,-52.007067008945384
2021-08-26,-86.53136256787667
2021-08-27,-48.486647226066026
2021-08-28,-85.34570989645663
2021-08-29,-108.14415730949948
2021-08-30,-70.13809141374395
2021-09-01,-60.253324572226745
2021-09-02,-94.777620131195
2021-09-03,-56.73290478951645
2021-09-04,-93.59196745968624
2021-09-05,-116.3904148727886
2021-09-06,-78.38434897701875
2021-09-07,-114.03404368289338
2021-09-08,-68.49958213545527
2021-09-09,-103.0238776943101
2021-09-10,-64.97916235265359
2021-09-11,-101.838225022991
2021-09-12,-124.63667243607772
2021-09-13,-86.63060654035445
2021-09-14,-122.28030124609904
2021-09-15,-76.7458396987102
2021-09-16,-111.27013525762841
2021-09-17,-73.22541991591123
2021-09-18,-110.08448258603993
2021-09-19,-132.88292999919796
2021-09-20,-94.87686410344283
2021-09-21,-130.52655880930985
2021-09-22,-84.9920972619797
2021-09-23,-119.51639282084511
2021-09-24,-81.47167747920501
2021-09-25,-118.33074014945024
2021-09-26,-141.12918756265597
2021-09-27,-103.12312166677852
2021-09-28,-138.77281637257462
2021-09-29,-93.2383548252347
2021-10-01,-89.71793504249878
2021-10-02,-126.57699771286049
2021-10-03,-149.37544512578106
2021-10-04,-111.36937922999053
2021-10-05,-147.0190739358394
2021-10-06,-101.48461238846319
2021-10-07,-136.00890794727857
2021-10-08,-97.96419260559983
2021-10-09,-134.82325527590942
2021-10-10,-157.62170268907016
2021-10-11,-119.61563679326528
2021-10-12,-155.26533149910418
2021-10-13,-109.73086995174455
2021-10-14,-144.25516551066147
2021-10-15,-106.21045016905026
2021-10-16,-143.06951283931966
2021-10-17,-165.86796025219041
2021-10-18,-127.8618943564773
2021-10-19,-163.5115890623099
2021-10-20,-117.97712751497305
2021-10-21,-152.5014230738782
2021-10-22,-114.45670773218741
2021-10-23,-151.31577040254925
2021-10-24,-174.1142178156485
2021-10-25,-136.108151919813
2021-10-26,-171.75784662562867
2021-10-27,-126.22338507820155
2021-10-28,-160.74768063709487
2021-10-29,-122.70296529548119
2021-10-30,-159.5620279656733
2021-11-01,-144.3544094829013
2021-11-02,-180.00410418883948
2021-11-03,-134.4696426414565
2021-11-04,-168.99393820037616
2021-11-05,-130.94922285861838
2021-11-06,-167.80828552890293
2021-11-07,-190.606732941889
2021-11-08,-152.60066704623702
2021-11-09,-188.25036175210425
2021-11-10,-142.71590020472598
2021-11-11,-177.2401957636945
2021-11-12,-139.1954804220688
2021-11-13,-176.05454309231317
2021-11-14,-198.85299050535187
2021-11-15,-160.84692460951177
2021-11-16,-196.4966193153691
2021-11-17,-150.96215776798098
2021-11-18,-185.48645332680957
2021-11-19,-147.44173798520595
2021-11-20,-184.30080065554276
2021-11-21,-207.0992480684721
2021-11-22,-169.09318217284752
2021-11-23,-204.74287687863387
2021-11-24,-159.20841533120947
2021-11-25,-193.73271089012795
2021-11-26,-155.68799554846356
2021-11-27,-192.54705821877235
2021-11-28,-215.34550563176123
2021-11-29,-177.33943973593585
2021-12-01,-167.45467289450542
2021-12-02,-201.97896845344624
2021-12-03,-163.93425311175733
2021-12-04,-200.793315782002
2021-12-05,-223.59176319505036
2021-12-06,-185.58569729927154
2021-12-07,-221.2353920051583
2021-12-08,-175.70093045773393
2021-12-09,-210.22522601666293
2021-12-10,-172.18051067505112
2021-12-11,-209.03957334530676
2021-12-12,-231.83802075834436
2021-12-13,-193.83195486260723
2021-12-14,-229.4816495683691
2021-12-15,-183.94718802098885
2021-12-16,-218.47148357987973
2021-12-17,-180.42676823818826
2021-12-18,-217.28583090835573
2021-12-19,-240.08427832146458
2021-12-20,-202.07821242569557
2021-12-21,-237.72790713163394
2021-12-22,-192.19344558424373
2021-12-23,-226.71774114316102
2021-12-24,-188.6730258016387
2021-12-25,-225.532088471766
2021-12-26,-248.33053588475371
2021-12-27,-210.32446998903131
2021-12-28,-245.9741646948396
2021-12-29,-200.43970314749868
2021-12-30,-234.9639987064793
